Date,Income,Expense,Category,Where,Payment Method,Measurement
1-Apr-21,3000,,income,online,netbank,primary,
1-Apr-21,2000,,income,online,netbank,tertiary,
1-Apr-21,,39,"food, breakfast, drink water, expense",Seven-Eleven,cash,primary,
1-Apr-21,,250,"education related fee, expense",online,cash,primary,
1-Apr-21,,650,"music, expense",music shop,cash,tertiary,
1-Apr-21,,40,"lunch, expense",restaurant,cash,primary,
2-Apr-21,,39,"breakfast, expense",,cash,primary,
2-Apr-21,,40,"lunch, expense",restaurant,cash,primary,
2-Apr-21,,55,"expense, dinner",,cash,primary,
3-Apr-21,,80,"lunch, expense",online,cash,primary,
3-Apr-21,,40,"expense, dinner",restaurant,cash,primary,
4-Apr-21,,40,"expense, dinner",Market,cash,primary,
4-Apr-21,,128,"breakfast, lunch, expense",Seven-Eleven,cash,primary,
4-Apr-21,,20,"laundry fee, expense",apartment,cash,primary,
5-Apr-21,,66,"breakfast, expense",Seven-Eleven,cash,primary,
5-Apr-21,,45,"lunch, expense",restaurant,cash,primary,
5-Apr-21,,45,"expense, dinner",restaurant,cash,primary,
5-Apr-21,,40,"expense, costume",shop,cash,tertiary,
5-Apr-21,,200,"expense, costume",shop,cash,tertiary,
6-Apr-21,,90,"food, breakfast, lunch, expense",online,cash,primary,
7-May-21,,720,invest,,,,
6-Apr-21,,50,"expense, dinner",restaurant,cash,primary,
7-Apr-21,,67,"breakfast, expense",Seven-Eleven,cash,primary,
7-Apr-21,,40,"lunch, expense",restaurant,cash,primary,
7-Apr-21,,19,"expense, energy drink",restaurant,cash,primary,
7-Apr-21,,40,"expense, dinner",restaurant,cash,primary,
8-Apr-21,,95,"breakfast, lunch, expense",online,wallet,primary,
8-Apr-21,,227,"computer, expense",online,wallet,tertiary,
8-Apr-21,,20,"laundry fee, expense",,,,
8-Apr-21,100,,income,online,netbank,tertiary,
8-Apr-21,400,,income,online,netbank,tertiary,
8-Apr-21,,19,"expense, energy drink",shop,cash,primary,
8-Apr-21,,200,"food, expense",shop,cash,primary,
9-Apr-21,,109,"expense, costume",TESCOLOTUS,cash,secondary,
9-Apr-21,,13,"expense, kitchenware",TESCOLOTUS,cash,primary,
9-Apr-21,,7,"drink water, expense",Seven-Eleven,cash,primary,
9-Apr-21,,20,"food, expense",Seven-Eleven,cash,primary,
9-Apr-21,,30,"food, lunch, expense",Seven-Eleven,cash,primary,
9-Apr-21,,100,"barber's fee, expense",none,netbank,primary,
9-Apr-21,,20,"food, breakfast, expense",none,cash,primary,
10-Apr-21,,80,"breakfast, expense, energy drink",online,cash,primary,
10-Apr-21,,100,"car fare, expense",none,cash,primary,
11-Apr-21,,80,"candy, expense",shop,cash,primary,
12-Apr-21,,420,"computer, expense",online,wallet,tertiary,
