Date,Income,Expense,Category,Where,Payment Method,Measurement,Column
1-Apr-21,3000,,รายรับ,Online,Bank,Primary,
1-Apr-21,2000,,รายรับ,Online,Bank,Tertiary,
1-Apr-21,,39,"ข้าว, ข้าวเช้า, น้ำ, รายจ่าย",11-Jul,Cash,Primary,
1-Apr-21,,250,"ค่าเกี่ยวเนื่องการศึกษา, รายจ่าย",Online,Cash,Primary,
1-Apr-21,,650,"ดนตรี, รายจ่าย",ร้านดนตรี,Cash,Tertiary,
1-Apr-21,,40,"ข้าวเที่ยง, รายจ่าย",ร้านข้าว,Cash,Primary,
2-Apr-21,,39,"ข้าวเช้า, รายจ่าย",,Cash,Primary,
2-Apr-21,,40,"ข้าวเที่ยง, รายจ่าย",ร้านข้าว,Cash,Primary,
2-Apr-21,,55,"รายจ่าย, เข้าเย็น",,Cash,Primary,
3-Apr-21,,80,"ข้าวเที่ยง, รายจ่าย",Online,Cash,Primary,
3-Apr-21,,40,"รายจ่าย, เข้าเย็น",ร้านข้าว,Cash,Primary,
4-Apr-21,,40,"รายจ่าย, เข้าเย็น",Market,Cash,Primary,
4-Apr-21,,128,"ข้าวเช้า, ข้าวเที่ยง, รายจ่าย",11-Jul,Cash,Primary,
4-Apr-21,,20,"ซักผ้า, รายจ่าย",ที่พัก,Cash,Primary,
5-Apr-21,,66,"ข้าวเช้า, รายจ่าย",11-Jul,Cash,Primary,
5-Apr-21,,45,"ข้าวเที่ยง, รายจ่าย",ร้านข้าว,Cash,Primary,
5-Apr-21,,45,"รายจ่าย, เข้าเย็น",ร้านข้าว,Cash,Primary,
5-Apr-21,,40,"รายจ่าย, เสื้อผ้าอาภรณ์",ร้านค้า,Cash,Tertiary,
5-Apr-21,,200,"รายจ่าย, เสื้อผ้าอาภรณ์",ร้านค้า,Cash,Tertiary,
6-Apr-21,,90,"ข้าว, ข้าวเช้า, ข้าวเที่ยง, รายจ่าย",Online,Cash,Primary,
7-May-21,,720,ลงทุน,,,,
6-Apr-21,,50,"รายจ่าย, เข้าเย็น",ร้านข้าว,Cash,Primary,
7-Apr-21,,67,"ข้าวเช้า, รายจ่าย",11-Jul,Cash,Primary,
7-Apr-21,,40,"ข้าวเที่ยง, รายจ่าย",ร้านข้าว,Cash,Primary,
7-Apr-21,,19,"รายจ่าย, เครื่องดื่ม",ร้านข้าว,Cash,Primary,
7-Apr-21,,40,"รายจ่าย, เข้าเย็น",ร้านข้าว,Cash,Primary,
8-Apr-21,,95,"ข้าวเช้า, ข้าวเที่ยง, รายจ่าย",Online,Wallet,Primary,
8-Apr-21,,227,"คอมพิวเตอร์, รายจ่าย",Online,Wallet,Tertiary,
8-Apr-21,,20,"ซักผ้า, รายจ่าย",,,,
8-Apr-21,100,,รายรับ,Online,Bank,Tertiary,
8-Apr-21,400,,รายรับ,Online,Bank,Tertiary,
8-Apr-21,,19,"รายจ่าย, เครื่องดื่ม",ร้านค้า,Cash,Primary,
8-Apr-21,,200,"ของกิน, รายจ่าย",ร้านค้า,Cash,Primary,
9-Apr-21,,109,"รายจ่าย, เสื้อผ้าอาภรณ์",TESCOLOTUS,Cash,Secondary,
9-Apr-21,,13,"รายจ่าย, เครื่องครัว",TESCOLOTUS,Cash,Primary,
9-Apr-21,,7,"น้ำ, รายจ่าย",11-Jul,Cash,Primary,
9-Apr-21,,20,"ของกิน, รายจ่าย",11-Jul,Cash,Primary,
9-Apr-21,,30,"ข้าว, ข้าวเที่ยง, รายจ่าย",11-Jul,Cash,Primary,
