วันที่,รายรับ,รายจ่าย,ชนิด,สถานที่,วิธีการชำระเงิน,เกณฑ์
1-Apr-21,3000,,รายรับ,ออนไลน์,เน็ตแบงค์,ปฐมภูมิ
1-Apr-21,2000,,รายรับ,ออนไลน์,เน็ตแบงค์,ตติยภูมิ
1-Apr-21,,39,"ข้าว, ข้าวเช้า, น้ำ, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
1-Apr-21,,250,"ค่าเกี่ยวเนื่องการศึกษา, รายจ่าย",ออนไลน์,เงินสด,ปฐมภูมิ
1-Apr-21,,650,"ดนตรี, รายจ่าย",ร้านดนตรี,เงินสด,ตติยภูมิ
1-Apr-21,,40,"ข้าวเที่ยง, รายจ่าย",ร้านข้าว,เงินสด,ปฐมภูมิ
2-Apr-21,,39,"ข้าวเช้า, รายจ่าย",,เงินสด,ปฐมภูมิ
2-Apr-21,,40,"ข้าวเที่ยง, รายจ่าย",ร้านข้าว,เงินสด,ปฐมภูมิ
2-Apr-21,,55,"รายจ่าย, เข้าเย็น",,เงินสด,ปฐมภูมิ
3-Apr-21,,80,"ข้าวเที่ยง, รายจ่าย",ออนไลน์,เงินสด,ปฐมภูมิ
3-Apr-21,,40,"รายจ่าย, เข้าเย็น",ร้านข้าว,เงินสด,ปฐมภูมิ
4-Apr-21,,40,"รายจ่าย, เข้าเย็น",Market,เงินสด,ปฐมภูมิ
4-Apr-21,,128,"ข้าวเช้า, ข้าวเที่ยง, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
4-Apr-21,,20,"ซักผ้า, รายจ่าย",ที่พัก,เงินสด,ปฐมภูมิ
5-Apr-21,,66,"ข้าวเช้า, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
5-Apr-21,,45,"ข้าวเที่ยง, รายจ่าย",ร้านข้าว,เงินสด,ปฐมภูมิ
5-Apr-21,,45,"รายจ่าย, เข้าเย็น",ร้านข้าว,เงินสด,ปฐมภูมิ
5-Apr-21,,40,"รายจ่าย, เสื้อผ้าอาภรณ์",ร้านค้า,เงินสด,ตติยภูมิ
5-Apr-21,,200,"รายจ่าย, เสื้อผ้าอาภรณ์",ร้านค้า,เงินสด,ตติยภูมิ
6-Apr-21,,90,"ข้าว, ข้าวเช้า, ข้าวเที่ยง, รายจ่าย",ออนไลน์,เงินสด,ปฐมภูมิ
7-May-21,,720,ลงทุน,,,
6-Apr-21,,50,"รายจ่าย, เข้าเย็น",ร้านข้าว,เงินสด,ปฐมภูมิ
7-Apr-21,,67,"ข้าวเช้า, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
7-Apr-21,,40,"ข้าวเที่ยง, รายจ่าย",ร้านข้าว,เงินสด,ปฐมภูมิ
7-Apr-21,,19,"รายจ่าย, เครื่องดื่ม",ร้านข้าว,เงินสด,ปฐมภูมิ
7-Apr-21,,40,"รายจ่าย, เข้าเย็น",ร้านข้าว,เงินสด,ปฐมภูมิ
8-Apr-21,,95,"ข้าวเช้า, ข้าวเที่ยง, รายจ่าย",ออนไลน์,Wallet,ปฐมภูมิ
8-Apr-21,,227,"คอมพิวเตอร์, รายจ่าย",ออนไลน์,Wallet,ตติยภูมิ
8-Apr-21,,20,"ซักผ้า, รายจ่าย",,,
8-Apr-21,100,,รายรับ,ออนไลน์,เน็ตแบงค์,ตติยภูมิ
